Num_HO,Failed_HO,PingPong_HO,Time_HO,PLR_HO,EndSimTime
4053,243,12,23.8,48.9333,100
4082,265,23,24,49.6908,100
3529,252,24,23.7,51.0597,100
4565,274,37,26.3,51.05,100
3948,290,27,24.8,49.7801,100
8705,548,46,54.3,54.1643,100
6639,468,93,47.775,57.0875,100
7546,516,47,55.375,54.6922,100
7014,521,84,51.2,54.268,100
5697,441,63,44.45,50.4032,100
12950,794,104,87.65,62.6018,100
11079,728,97,81.35,58.8267,100
13513,789,163,83.85,58.1976,100
11150,784,61,76.2,60.1527,100
13203,837,84,93.25,60.2176,100
12780,896,55,89.45,54.8179,100
15430,966,109,103.7,58.1782,100
13804,959,41,95,60.035,100
21372,1141,141,131,61.6403,100
13041,976,52,90.375,60.4531,100
3495,571,2,39,58.5301,100
3537,569,5,38.925,59.5652,100
