Speed_Category,Total_HO,Failed_HO,PingPong_HO,Time_HO,PLR_HO,EndSimTime
SPEED_020,2687,212,14,1307.35,1.99333e+06,100
SPEED_020,3120,245,25,1330.15,2.2545e+06,100
SPEED_020,1868,159,3,1282.43,2.47863e+06,100
SPEED_020,3370,240,6,1388.8,2.13511e+06,100
SPEED_020,3817,240,13,1411.8,2.56208e+06,100
SPEED_020,3684,255,20,1368.43,2.31767e+06,100
SPEED_020,3478,239,15,1380.7,2.10391e+06,100
SPEED_020,3399,248,34,1358.4,2.28611e+06,100
SPEED_020,3311,240,6,1368.53,1.86955e+06,100
SPEED_020,3394,275,26,1375.02,2.38654e+06,100
SPEED_020,4226,290,15,1415.9,1.88683e+06,100
SPEED_020,3797,256,24,1406.4,1.98177e+06,100
SPEED_020,4286,276,19,1382.18,2.19761e+06,100
SPEED_020,4131,252,21,1383.68,2.49186e+06,100
SPEED_020,2984,218,10,1310.03,2.13718e+06,100
SPEED_020,3545,241,11,1332.93,2.1062e+06,100
SPEED_020,4248,283,53,1390.52,2.37276e+06,100
SPEED_020,3614,265,16,1381.3,2.29575e+06,100
SPEED_020,2870,212,16,1329.55,2.13946e+06,100
SPEED_020,4260,283,25,1426.53,2.30053e+06,100
SPEED_020,2685,228,11,1284.4,2.1807e+06,100
SPEED_020,3414,270,20,1381.15,1.79345e+06,100
SPEED_020,3278,248,14,1377.57,2.07117e+06,100
SPEED_020,3478,213,21,1413.8,1.95192e+06,100
SPEED_020,4419,306,33,1485.03,1.91558e+06,100
SPEED_020,3824,252,19,1402.93,2.31022e+06,100
SPEED_020,4273,261,34,1453.23,2.02965e+06,100
SPEED_020,3625,270,14,1380.8,2.05114e+06,100
SPEED_020,3593,257,9,1333.53,2.27909e+06,100
SPEED_020,3743,275,7,1358.53,2.34287e+06,100
SPEED_020,3730,240,21,1432.65,2.32694e+06,100
SPEED_020,2949,239,14,1355.78,1.94149e+06,100
SPEED_020,3491,269,33,1419.28,2.24737e+06,100
SPEED_020,2505,202,12,1359.03,2.17207e+06,100
SPEED_020,2949,249,20,1345.8,2.40705e+06,100
SPEED_020,3061,235,10,1371.05,2.28686e+06,100
SPEED_020,2724,222,35,1330.68,2.00229e+06,100
SPEED_020,2958,235,2,1332.4,1.99336e+06,100
SPEED_020,3658,279,29,1358.15,2.17049e+06,100
SPEED_020,3411,266,7,1392.55,1.79531e+06,100
SPEED_020,4201,286,43,1401.32,2.17395e+06,100
SPEED_020,2821,196,8,1353.9,2.34326e+06,100
SPEED_020,3516,264,22,1344.03,2.18332e+06,100
SPEED_020,4386,262,27,1392.78,2.43643e+06,100
SPEED_020,4889,283,24,1439.68,2.43521e+06,100
SPEED_020,3910,281,11,1453.3,2.19682e+06,100
SPEED_020,2441,233,14,1285.03,2.15946e+06,100
SPEED_020,3773,283,27,1440.55,2.31516e+06,100
SPEED_020,4145,274,24,1462.8,2.1938e+06,100
SPEED_020,4231,273,32,1455.03,2.12572e+06,100
SPEED_020,2030,199,17,1322.15,2.05387e+06,100
